Fecha;year;month;day;day_name;Veh;Linea;Descripcion;Correccion;Sistema;Retraso_minutos;Causó_desalojo;Porcentaje_desalojo;Supervisor_reviso;Cat;Fiabilidad_Servicio
2017-03-19;2017;3;19;Sunday;2;1;falla cea bloqueo 0 bar;se resetea cea;convertidor de auxiliares;6.0;1;60.0;593;1;1
2017-07-05;2017;7;5;Wednesday;2;1;pantografo replegado;se cambian celdas de bateria;bateria;11.0;1;30.0;2269;2;1
2017-10-25;2017;10;25;Wednesday;2;1;falla vebtiladores de equipo y falla de cea;se resetea cea;convertidor de auxiliares;5.0;1;60.0;593;1;1
2018-02-27;2018;2;27;Tuesday;2;1;golpeteo en m1;se ajusta portastick;ruedas;0.0;0;0.0;289;3;0
2018-05-20;2018;5;20;Sunday;2;1;pantografo se repliega;se resetea cea;convertidor de auxiliares;0.0;0;0.0;593;1;0
2018-08-24;2018;8;24;Friday;2;1;2a pta izq se atora;se cambio sinfin;puertas;4.0;0;0.0;1285;3;0
2018-12-09;2018;12;9;Sunday;2;1;fallade cet;se cambia tvl;transductores;0.0;0;0.0;1319;1;0
2019-02-09;2019;2;9;Saturday;2;1;falla ventiladores equipo;se reseteo ventilacion cap;ventiladores de equipo;1.0;0;0.0;1319;1;0
2019-03-27;2019;3;27;Wednesday;2;1;velocimetro no funciona;secambia velocimetro;velocimetro;0.0;0;0.0;1319;1;0
2019-05-09;2019;5;9;Thursday;2;1;falla ventiladores de equipo y bloqueo 0 bar;se reestablese termico de la cap;ventiladores de equipo;5.0;0;0.0;1319;1;1
2019-07-26;2019;7;26;Friday;2;1;falla de cet;se reseteo ventilacion de cap;ventiladores de equipo;6.0;0;0.0;289;1;1
2019-08-01;2019;8;1;Thursday;2;1;falla en senales de scpv;se cambia scpv;control de puertas y velocidad;0.0;0;0.0;915;1;0
2019-09-11;2019;9;11;Wednesday;2;1;falla de cet y bloqueo a 2 bars;reset a termico de caja de aparatos;ventiladores de equipo;2.0;0;0.0;915;1;0
2019-12-23;2019;12;23;Monday;2;1;se abren puertas y repliega pantografo solo;se cambian hiperblocks;acoplador;0.0;0;0.0;2485;2;0
2019-12-25;2019;12;25;Wednesday;2;1;puertas se abren solas;en revision;puertas;2.0;0;0.0;289;2;0
2020-02-28;2020;2;28;Friday;2;1;voceo no funciona;se corrige cableado flojo;radio y voceo;0.0;0;0.0;593;1;0
2020-02-29;2020;2;29;Saturday;2;1;falla de cet;no se encontro falla;convertidor de traccion;6.0;1;80.0;593;1;1
2020-04-07;2020;4;7;Tuesday;2;1;botaguas suelto por articulacion;se retira pedazo suelto;bastidores y carroceria;0.0;0;0.0;2485;3;0
2020-12-18;2020;12;18;Friday;2;1;bloqueo a 3 bars;se cambia kfs puerta 5 izq;puertas;5.0;1;90.0;1285;2;1
2021-02-23;2021;2;23;Tuesday;2;1;bloqueo a 2 y falla de cet;reset a mvcap;ventiladores de equipo;1.0;0;0.0;593;1;0
2021-06-22;2021;6;22;Tuesday;2;1;falla de fusible principal;en revision;fusibles de alta tension;0.0;0;0.0;915;1;0
2021-11-21;2021;11;21;Sunday;2;1;falla de ventiladores de equipo;se dio mtto a bs;bloque de senalizacion;2.5;0;0.0;1379;1;0
